STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600101,0,305,0,-17,-50
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600102,277,330,338,17,-56
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600103,46,356,0,33,-6
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600104,15,305,0,83,11
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600105,8,229,0,22,-17
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600106,13,229,15,0,-44
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600107,0,279,0,-39,-78
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600108,25,305,18,-56,-72
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600109,3,254,0,-61,-94
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600110,0,254,0,-61,-100
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600111,0,254,0,-83,-206
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600112,0,254,0,-172,-311
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600113,0,254,0,-156,-317
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600114,0,254,0,-200,-317
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600115,0,254,0,-167,-300
GHCND:USW00026523,KENAI MUNICIPAL AIRPORT AK US,28,60.56667,-151.25,19600116,10,229,18,-50,-178
